リンク,ジャンル,商品説明,発売元,発売日,価格
https://www.suruga-ya.jp/product/detail/109000290,ニンテンドースイッチソフト,大乱闘スマッシュブラザーズ SPECIAL,任天堂,2018/12/07,"￥6,480"
https://www.suruga-ya.jp/product/detail/209000290,ニンテンドースイッチソフト,大乱闘スマッシュブラザーズ SPECIAL (箱説なし),任天堂,2018/12/07,"￥5,550"
https://www.suruga-ya.jp/product/detail/104000383,ニンテンドー3DSソフト,大乱闘スマッシュブラザーズ for Nintendo3DS,任天堂,2014/09/13,￥450
https://www.suruga-ya.jp/product/detail/106000021,WiiUソフト,大乱闘スマッシュブラザーズ for WiiU,任天堂,2014/12/06,￥650
https://www.suruga-ya.jp/product/detail/106000251?tenpo_cd=400466,WiiUソフト,大乱闘スマッシュブラザーズ for WiiU(状態：ディスク状態難),任天堂,2014/12/06,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/106000163,WiiUソフト,大乱闘スマッシュブラザーズ for WiiU(状態：説明書欠品),任天堂,2014/12/06,￥630
https://www.suruga-ya.jp/product/detail/106000121,WiiUソフト,大乱闘スマッシュブラザーズ[GCコントローラ接続タップ同梱],任天堂,2014/12/06,"￥3,130"
https://www.suruga-ya.jp/product/detail/157000563,NGCソフト,大乱闘スマッシュブラザーズDX (状態：スリーブ欠品),任天堂,2001/11/21,￥880
https://www.suruga-ya.jp/product/detail/102000096,Wiiソフト,大乱闘スマッシュブラザーズX,任天堂,2008/01/31,￥878
https://www.suruga-ya.jp/product/detail/157000550,NGCソフト,大乱闘スマッシュブラザーズDX (状態：スリーブ状態難),任天堂,2001/11/21,"￥1,100"
https://www.suruga-ya.jp/product/detail/104001150?tenpo_cd=400428,ニンテンドー3DSソフト,大乱闘スマッシュブラザーズ for Nintendo3DS (状態：操作説明シート欠品),任天堂,2014/09/13,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/204000383,ニンテンドー3DSソフト,大乱闘スマッシュブラザーズ for Nintendo3DS (箱説なし),任天堂,2014/09/13,￥400
https://www.suruga-ya.jp/product/other/157000699,NGCソフト,大乱闘スマッシュブラザーズDX(状態：スリーブ欠品、説明書状態難),任天堂,2001/11/21,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/157000006,NGCソフト,大乱闘スマッシュブラザーズDX,任天堂,2001/11/21,"￥1,978"
https://www.suruga-ya.jp/product/detail/102000815?tenpo_cd=400476,Wiiソフト,大乱闘スマッシュブラザーズX (状態：説明書欠品),任天堂,2008/01/31,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/157000782?tenpo_cd=400446,NGCソフト,大乱闘スマッシュブラザーズDX(状態：説明書状態難・パッケージ状態難),任天堂,2001/11/21,品切れなので他店舗の商品をご覧ください
https://www.suruga-ya.jp/product/detail/102000973,Wiiソフト,大乱闘スマッシュブラザーズX (状態：パッケージ状態難、説明書欠品),任天堂,2008/01/31,￥500
